SampleID,Pond,DP,Day,Position,Replicate,Astatotilapia_calliptera,Abramis_brama,Alburnus_alburnus,Barbus_barbus,Blicca_bjoerkna,Carassius_auratus,Carassius_carassius,Hypophthalmichthys_molitrix,Leuciscus_idus,Leuciscus_leuciscus,Rutilus_rutilus,Scardinius_erythrophthalmus,Squalius_cephalus,Tinca_tinca,unassigned
E4_D08_P2_2,E4,D8P2,D8,P2,2,0,377,18,1137,0,0,1962,0,0,92,4044,0,7704,400,8696
E4_D08_P2_3,E4,D8P2,D8,P2,3,0,253,10,244,0,0,417,0,0,0,999,0,1790,0,3028
E4_D08_P3_1,E4,D8P3,D8,P3,1,0,124,11,456,0,0,508,0,0,26,1692,11,1415,0,3295
E4_D08_P3_2,E4,D8P3,D8,P3,2,0,256,10,662,0,0,979,0,0,0,2126,0,3361,37,4760
E4_D08_P3_3,E4,D8P3,D8,P3,3,0,288,18,717,0,0,640,0,0,0,1986,0,2866,56,5175
E4_D08_P4_1,E4,D8P4,D8,P4,1,0,203,5,410,0,0,583,0,0,0,1195,0,2151,30,4213
E4_D08_P4_2,E4,D8P4,D8,P4,2,0,135,5,745,0,0,454,0,0,0,1434,0,2009,0,3902
E4_D08_P4_3,E4,D8P4,D8,P4,3,0,272,3,214,0,0,222,0,0,53,1224,0,1907,0,3789
E4_D08_P5_1,E4,D8P5,D8,P5,1,13,232,6,620,0,0,385,0,0,0,1868,0,2088,0,4044
E4_D08_P5_2,E4,D8P5,D8,P5,2,37,179,7,756,0,0,213,0,0,0,1572,0,2259,227,3167
E4_D08_P5_3,E4,D8P5,D8,P5,3,29,124,13,944,0,0,432,0,0,0,2273,0,3198,0,4395
E4_D08_Pos2,E4,D8Ctrl,D8,Ctrl,POS2,14067,0,0,0,0,0,0,0,0,0,3,0,4,0,113791
E4_D10_Blank2,E4,D10Ctrl,D10,Ctrl,BLANK2,52,0,0,0,0,0,0,0,0,0,13,0,5,0,10
E4_D10_Neg2,E4,D10Ctrl,D10,Ctrl,NEG2,66,0,0,3,0,0,0,0,0,0,7,0,6,0,5
E4_D10_P1_1,E4,D10P1,D10,P1,1,0,417,31,904,0,0,1235,0,0,0,7390,0,4478,62,12262
E4_D10_P1_2,E4,D10P1,D10,P1,2,0,999,73,2289,0,4,3144,0,0,0,12769,0,6516,0,17167
E4_D10_P1_3,E4,D10P1,D10,P1,3,0,627,39,848,5,0,1365,0,0,0,9519,0,6343,72,14036
E4_D10_P2_1,E4,D10P2,D10,P2,1,0,299,7,428,0,0,164,0,0,0,2031,0,1725,0,4259
E4_D10_P2_2,E4,D10P2,D10,P2,2,0,175,8,185,0,0,467,0,0,0,2112,0,1424,0,3430
E4_D10_P2_3,E4,D10P2,D10,P2,3,0,51,13,281,0,0,671,0,0,0,2335,0,1400,0,4740
E4_D10_P3_1,E4,D10P3,D10,P3,1,0,50,11,192,0,0,31,0,0,0,1556,0,726,0,2312
E4_D10_P3_2,E4,D10P3,D10,P3,2,0,0,7,223,0,0,86,0,0,0,1548,0,1489,0,2124
E4_D10_P3_3,E4,D10P3,D10,P3,3,0,42,10,439,0,0,246,0,0,0,2024,0,1371,117,3123
E4_D10_P4_1,E4,D10P4,D10,P4,1,0,55,5,61,0,0,266,0,0,0,1227,0,3500,0,6738
E4_D10_P4_2,E4,D10P4,D10,P4,2,0,540,30,4232,3,43,1785,0,0,0,6493,0,7966,0,19084
E4_D10_P4_3,E4,D10P4,D10,P4,3,0,99,5,1748,0,0,278,0,0,0,1619,0,4423,0,9028
E4_D10_P5_1,E4,D10P5,D10,P5,1,25,423,18,506,0,0,1036,0,0,0,2859,0,3000,0,6474
E4_D10_P5_2,E4,D10P5,D10,P5,2,20,745,33,852,0,0,1091,0,0,0,6358,0,8301,0,13011
E4_D10_P5_3,E4,D10P5,D10,P5,3,34,243,21,506,0,0,922,0,0,0,4146,0,4799,0,9721
E4_D10_Pos2,E4,D10Ctrl,D10,Ctrl,POS2,4358,0,0,0,0,0,0,0,0,0,5,0,0,0,124655
E4_D12_Blank2,E4,D12Ctrl,D12,Ctrl,BLANK2,154,0,0,0,0,0,4,0,0,0,18,0,13,0,14
E4_D12_Neg2,E4,D12Ctrl,D12,Ctrl,NEG2,48,0,0,4,0,0,0,0,0,0,6,0,9,0,9
E4_D12_P1_1,E4,D12P1,D12,P1,1,0,344,19,434,0,0,1385,0,0,0,4871,0,3013,0,7693
E4_D12_P1_2,E4,D12P1,D12,P1,2,0,1213,30,866,6,0,1807,0,0,0,8172,0,5560,52,11347
E4_D12_P1_3,E4,D12P1,D12,P1,3,0,503,27,481,0,0,1758,0,0,0,5422,0,4490,86,7462
E4_D12_P2_1,E4,D12P2,D12,P2,1,0,589,29,701,0,0,1316,0,0,0,5104,0,2974,32,8597
E4_D12_P2_2,E4,D12P2,D12,P2,2,0,465,32,614,0,0,804,0,0,0,6569,0,4215,7,10469
E4_D12_P2_3,E4,D12P2,D12,P2,3,0,252,25,373,0,0,1325,0,0,0,3738,0,2562,0,7239
E4_D12_P3_1,E4,D12P3,D12,P3,1,0,203,11,12,0,0,203,0,0,0,1444,0,1313,0,3172
E4_D12_P3_2,E4,D12P3,D12,P3,2,0,376,30,417,0,0,369,0,0,0,4899,0,2875,0,6098
E4_D12_P3_3,E4,D12P3,D12,P3,3,0,422,22,711,0,0,1146,0,0,0,4545,0,2675,0,6054
E4_D12_P4_1,E4,D12P4,D12,P4,1,0,270,16,1476,0,0,283,0,0,0,2976,0,2844,43,5973
E4_D12_P4_2,E4,D12P4,D12,P4,2,0,58,10,701,0,0,239,0,0,0,2585,0,2867,0,5087
E4_D12_P4_3,E4,D12P4,D12,P4,3,0,92,9,496,0,0,400,0,0,0,1383,0,1553,0,3471
E4_D12_P5_1,E4,D12P5,D12,P5,1,33,312,13,456,0,0,707,0,0,0,2816,0,2579,0,4954
E4_D12_P5_2,E4,D12P5,D12,P5,2,35,11,25,69,0,0,443,0,0,0,3448,0,3609,0,5709
E4_D12_P5_3,E4,D12P5,D12,P5,3,11,350,23,303,21,0,270,0,0,0,2757,0,2572,0,4004
E4_D12_Pos2,E4,D12Ctrl,D12,Ctrl,POS2,3935,0,0,0,0,0,0,0,0,0,4,0,5,0,121551
E4_D14_Blank2,E4,D14Ctrl,D14,Ctrl,BLANK2,226,0,0,0,0,0,5,0,0,0,25,0,20,0,821
E4_D14_Neg2,E4,D14Ctrl,D14,Ctrl,NEG2,261,0,0,5,0,0,11,0,0,0,25,0,25,0,109
E4_D14_P1_1,E4,D14P1,D14,P1,1,0,631,10,165,0,0,368,0,0,0,2093,0,2515,63,5108
E4_D14_P1_2,E4,D14P1,D14,P1,2,0,706,37,802,0,0,1781,0,0,0,6298,0,5269,0,10018
E4_D14_P1_3,E4,D14P1,D14,P1,3,0,323,15,475,0,0,581,0,0,0,2701,0,2312,0,5021
E4_D14_P2_1,E4,D14P2,D14,P2,1,0,211,14,384,0,0,788,0,0,0,2670,0,2698,104,5635
E4_D14_P2_2,E4,D14P2,D14,P2,2,0,480,12,101,0,0,173,0,0,0,1733,0,2049,0,3585
E4_D14_P2_3,E4,D14P2,D14,P2,3,0,170,15,179,0,0,390,0,0,0,2414,0,2093,0,5148
E4_D14_P3_1,E4,D14P3,D14,P3,1,0,128,15,331,0,0,559,0,0,0,1820,0,1759,90,3755
E4_D14_P3_2,E4,D14P3,D14,P3,2,0,470,25,541,0,0,603,0,0,0,4881,0,3866,0,6476
E4_D14_P3_3,E4,D14P3,D14,P3,3,0,352,21,717,0,0,1451,0,0,0,4491,0,4512,0,7843
E4_D14_P4_1,E4,D14P4,D14,P4,1,0,516,22,1123,0,0,992,0,0,0,5090,0,3520,0,11315
E4_D14_P4_2,E4,D14P4,D14,P4,2,0,233,12,418,0,0,1374,0,0,0,3129,0,3966,0,6515
E4_D14_P4_3,E4,D14P4,D14,P4,3,0,165,43,585,0,0,700,0,0,0,4814,0,3592,0,7077
E4_D14_P5_1,E4,D14P5,D14,P5,1,36,108,18,280,0,0,766,0,0,0,3902,0,2919,72,6845
E4_D14_P5_2,E4,D14P5,D14,P5,2,79,684,46,651,0,0,1026,0,0,0,8287,0,4347,0,8680
E4_D14_P5_3,E4,D14P5,D14,P5,3,60,394,23,868,0,0,1002,0,0,0,4661,0,2835,0,6072
E4_D14_Pos2,E4,D14Ctrl,D14,Ctrl,POS2,5596,5,0,0,0,0,3,0,0,0,39,0,8,0,166327
